LinkSNIFA,RUT
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/294,76095094-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/295,93711000-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/296,61606100-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/298,76541630-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/299,96567040-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/300,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/301,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/304,69250800-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/305,94621000-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/306,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/307,96799830-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/308,93933000-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/309,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/310,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/311,61802001-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/312,61802001-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/313,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/314,76215634-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/315,78237670-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/316,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/317,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/318,76800800-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/319,96567040-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/320,76170147-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/321,77743420-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/322,99541060-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/323,79728000-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/325,69010400-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/326,77614580-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/327,96567040-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/328,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/329,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/330,77654870-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/332,59032420-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/333,76048403-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/334,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/335,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/336,96994390-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/337,86160300-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/338,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/339,61838000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/340,61838000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/341,61838000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/342,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/343,61838000-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/344,78932860-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/345,78398170-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/346,96623750-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/347,79815340-4
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/348,76378164-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/349,69010200-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/350,60511012-6
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/351,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/352,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/353,61202000-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/354,61202000-0
